Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,job_state,same_state,age,python_yn,R_yn,spark,aws,excel,num_comp
"Scientist I/II, Biology",102.0,3.9,Blueprint Medicines,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2011,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),"bluebird bio, Agios Pharmaceuticals, Celgene",0,0,MA,1,9,0,0,0,0,1,3
Customer Data Scientist,153.5,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,CA,1,9,1,0,1,1,1,0
Data Scientist - Health Data Analytics,142.5,4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,CA,1,10,0,0,0,0,0,0
Data Scientist,87.5,4.0,Pinnacol Assurance,"Denver, CO","Denver, CO",501 to 1000 employees,1915,Nonprofit Organization,Insurance Carriers,Insurance,$500 million to $1 billion (USD),-1,0,0,CO,1,105,1,0,0,0,1,0
Data Scientist,105.5,3.2,Porch,"Seattle, WA","Seattle, WA",201 to 500 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Angie's List, HomeAdvisor, Thumbtack",0,0,WA,1,8,1,0,1,0,0,3
Senior Data Scientist / Machine Learning,96.0,3.9,Health IQ,"Dallas, TX","Mountain View, CA",201 to 500 employees,2013,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,-1,0,0,TX,0,7,0,0,0,0,1,0
Data Scientist - Quantitative,112.5,3.8,Truckstop.com,"Chicago, IL","New Plymouth, ID",501 to 1000 employees,1995,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,0,0,IL,0,25,1,0,0,1,1,0
Data Scientist,84.0,4.3,SMC 3,"Louisville, KY","Peachtree City, GA",51 to 200 employees,1935,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,$10 to $25 million (USD),-1,0,0,KY,0,85,1,0,0,0,1,0
Data Scientist,143.0,4.0,Novetta,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton",0,0,VA,0,8,1,0,0,1,0,3
Digital Health Data Scientist,86.5,4.0,Pfizer,"Cambridge, MA","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,MA,0,171,1,0,0,1,1,0
Data Scientist,99.5,3.5,First Tech Federal Credit Union,"Hillsboro, OR","San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,0,0,OR,0,68,1,0,1,1,1,0
Associate Data Analyst,47.5,3.7,The Hanover Insurance Group,"Worcester, MA","Worcester, MA",5001 to 10000 employees,1852,Company - Public,Insurance Carriers,Insurance,$5 to $10 billion (USD),-1,0,0,MA,1,168,0,0,0,0,1,0
Clinical Data Scientist,84.0,4.0,Pfizer,"Groton, CT","New York, NY",10000+ employees,1849,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,CT,0,171,0,0,0,1,1,0
Data Scientist,85.0,4.8,KnowBe4,"Clearwater, FL","Clearwater, FL",501 to 1000 employees,2010,Company - Private,Security Services,Business Services,$100 to $500 million (USD),-1,0,0,FL,1,10,1,0,1,0,1,0
Data Scientist,76.5,3.8,PNNL,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,WA,1,55,1,0,0,0,0,3
Data Scientist,96.0,3.6,Amrock,"Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,0,0,MI,1,23,1,0,0,0,0,0
Data Scientist / Machine Learning Expert,114.5,3.8,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,0,0,MA,0,24,1,0,0,0,0,0
Data Scientist,121.0,3.8,Juniper Networks,"Sunnyvale, CA","Sunnyvale, CA",5001 to 10000 employees,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,0,0,CA,1,24,1,0,1,0,1,0
Data Scientist,112.5,4.7,New England Biolabs,"Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",0,0,MA,1,46,1,0,0,0,1,3
Web Data Analyst,106.0,4.2,Clarity Insights,"San Jose, CA","Chicago, IL",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,CA,0,12,1,0,0,0,1,0
Data Scientist,107.0,3.5,Esri,"Redlands, CA","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,0,0,CA,1,51,1,0,1,1,0,1
Data Scientist,110.0,4.7,Systems & Technology Research,"Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,MA,1,10,1,0,1,0,1,0
Senior Data Scientist,147.5,3.5,Sartorius,"Fremont, CA","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,CA,0,150,1,0,0,0,1,0
Data Engineer,106.0,3.5,Lancer Insurance,"Long Beach, NY","Long Beach, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,0,0,NY,1,35,1,0,0,0,1,0
Data Analyst,88.0,4.2,Sauce Labs,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",0,0,CA,1,12,1,0,0,1,1,3
Data Engineer,98.5,3.6,Persivia,"Marlborough, MA","Lowell, MA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,0,0,MA,0,-1,0,0,0,0,1,0
Data Scientist - Algorithms & Inference,142.5,4.2,Nuna,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,CA,1,10,0,0,0,0,0,0
Scientist,82.5,3.4,Edgewell Personal Care,"Allendale, NJ","Shelton, CT",5001 to 10000 employees,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",0,0,NJ,0,5,0,0,0,1,0,3
Senior Data Scientist,130.0,4.3,Equity Residential,"Chicago, IL","Chicago, IL",1001 to 5000 employees,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",0,0,IL,1,27,1,0,1,0,1,3
Data Scientist,155.0,5.0,BPA Services,"Washington, DC","Alexandria, VA",Unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,1,DC,0,-1,0,0,0,1,1,0
Lead Data Scientist,184.5,3.7,Visa Inc.,"Bellevue, WA","Foster City, CA",10000+ employees,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",0,0,WA,0,62,1,0,0,0,1,3
Associate Data Analyst,29.5,3.1,Intrado,"Longmont, CO","Omaha, NE",5001 to 10000 employees,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,0,0,CO,0,34,0,0,0,0,1,0
Spectral Scientist/Engineer,86.5,4.7,Centauri,"Beavercreek, OH","Chantilly, VA",501 to 1000 employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",0,0,OH,0,21,0,0,0,0,0,3
College Hire - Data Scientist - Open to December 2019 Graduates,81.0,3.7,Caterpillar,"Peoria, IL","Deerfield, IL",10000+ employees,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",0,0,IL,0,95,0,0,0,0,0,3
Data Scientist,91.0,3.8,Zimmerman Advertising,"Fort Lauderdale, FL","Fort Lauderdale, FL",501 to 1000 employees,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,0,0,FL,1,36,1,0,0,0,1,0
"Data Scientist, Office of Data Science",114.5,3.3,Liberty Mutual Insurance,"Boston, MA","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",0,0,MA,1,108,1,0,0,0,0,3
Data Science Analyst,68.0,4.6,"Torch Technologies, Inc.","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,0,0,AL,1,18,1,0,0,0,1,0
Data Scientist,115.0,3.7,Swiss Re,"Armonk, NY","Zurich, Switzerland",10000+ employees,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",0,0,NY,0,157,1,0,0,0,1,3
Data Scientist,109.5,3.7,Northrop Grumman,"San Diego, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,0,0,CA,0,81,0,0,0,0,1,0
Data Scientist,75.5,3.5,Sartorius,"Albuquerque, NM","Gottingen, Germany",5001 to 10000 employees,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,0,0,NM,0,150,1,0,0,0,1,0
Data Scientist,154.5,4.1,Netskope,"San Francisco, CA","Santa Clara, CA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",0,0,CA,0,8,1,0,1,0,1,3
Data Scientist,143.5,4.7,1904labs,"Saint Louis, MO","Saint Louis, MO",51 to 200 employees,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",0,0,MO,1,4,1,0,1,0,0,2
Data Scientist,73.5,4.1,ClearOne Advantage,"Baltimore, MD","Baltimore, MD",501 to 1000 employees,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,0,0,MD,1,12,0,0,0,0,1,0
Data Scientist,95.0,3.4,CyrusOne,"Dallas, TX","Dallas, TX",201 to 500 employees,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",0,0,TX,1,20,1,0,0,1,1,3
Senior Data Scientist,107.0,4.4,The David J. Joseph Company,"Cincinnati, OH","Cincinnati, OH",201 to 500 employees,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,0,0,OH,1,135,1,0,0,1,0,0
Data Scientist,115.0,4.3,USEReady,"New York, NY","New York, NY",201 to 500 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,0,0,NY,1,9,1,0,1,1,0,0
Senior Risk Data Scientist,139.5,3.8,Bill.com,"Palo Alto, CA","Palo Alto, CA",501 to 1000 employees,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,0,0,CA,1,14,0,0,0,0,0,0
Data Scientist in Artificial Intelligence Early Career,67.0,3.8,Pacific Northwest National Laboratory,"Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",0,0,WA,1,55,0,0,0,0,0,3
Data Scientist,85.0,3.8,DICK'S Sporting Goods - Corporate,"Coraopolis, PA","Coraopolis, PA",10000+ employees,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",0,0,PA,1,72,1,0,0,0,0,3
Data Scientist,118.0,2.8,Berg Health,"Framingham, MA","Framingham, MA",51 to 200 employees,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,0,0,MA,1,14,1,0,0,0,1,0
Data Scientist,79.5,4.7,Oversight Systems,"Atlanta, GA","Atlanta, GA",51 to 200 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,0,0,GA,1,17,1,0,0,0,1,0
Data Scientist - Research,56.5,3.1,C Space,"Boston, MA","Boston, MA",201 to 500 employees,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",0,0,MA,1,21,1,0,0,0,0,4
Data Scientist,128.5,3.2,"Numeric, LLC","Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,0,0,PA,0,-1,1,0,1,1,0,0
R&D Data Analysis Scientist,97.5,4.0,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,WA,0,81,0,0,0,0,0,0
Analytics Consultant,66.5,4.4,SpringML,"Indianapolis, IN","Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,IN,0,5,1,0,0,0,0,0
"Director, Data Science",179.5,3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",10000+ employees,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1,0,0,IL,1,93,1,0,0,0,1,0
Scientist,76.0,2.7,EAG Laboratories,"Maryland Heights, MO","San Diego, CA",501 to 1000 employees,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,0,0,MO,0,42,0,0,0,0,1,0
Data Scientist SR,112.0,3.9,The Buffalo Group,"Charlottesville, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,VA,0,10,1,0,1,0,0,3
Data Scientist,98.0,3.1,Carmeuse,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 to 5000 employees,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",0,0,PA,0,160,1,0,0,0,0,3
R&D Sr Data Scientist,128.0,4.0,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+ employees,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,0,0,WA,0,81,0,0,1,1,0,0
Customer Data Scientist/Sales Engineer (Bay,150.5,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 to 500 employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,CA,1,9,1,0,1,1,1,0
Research Scientist,87.5,1.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 to 200 employees,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,0,0,MA,1,20,0,0,0,1,0,0
Data Scientist,110.0,3.3,Peraton,"Chantilly, VA","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,0,0,VA,0,3,1,0,0,0,1,0
Data Scientist,113.5,4.4,Pactera,"San Jose, CA","Beijing, China",10000+ employees,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture",0,0,CA,0,25,1,0,0,0,1,3
Data Scientist,124.0,3.9,Nurx,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,0,0,CA,1,4,1,0,0,0,0,0
Jr. Business Data Analyst,56.5,4.7,webfx.com,"Harrisburg, PA","Harrisburg, PA",201 to 500 employees,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,0,0,PA,1,23,0,0,0,0,1,0
Data Scientist,130.0,4.5,Johns Hopkins University Applied Physics Laboratory,"Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",0,0,MD,1,78,1,0,0,0,1,3
Data Analyst,77.5,4.3,Productive Edge,"Chicago, IL","Chicago, IL",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom",0,0,IL,1,12,0,0,0,0,1,3
Data Engineer,87.0,4.0,Excella Consulting,"Arlington, VA","Arlington, VA",201 to 500 employees,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,0,0,VA,1,18,1,0,0,1,1,0
Data Analyst,53.5,4.4,Gensco,"Tacoma, WA","Tacoma, WA",501 to 1000 employees,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1,0,0,WA,1,72,0,0,0,0,1,0
Staff Data Scientist - Technology,139.0,3.2,Walmart,"Plano, TX","Bentonville, AR",10000+ employees,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",0,0,TX,0,58,0,0,0,0,0,3
Data Scientist,114.0,3.8,Logic20/20,"San Jose, CA","Seattle, WA",201 to 500 employees,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,0,0,CA,0,15,1,0,1,1,1,0
Data Scientist,85.5,4.2,goTRG,"Miami, FL","Miami, FL",501 to 1000 employees,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,0,0,FL,1,12,1,0,1,0,1,0
Data Management Specialist,48.0,4.5,NMR Consulting,"Huntsville, AL","Chantilly, VA",51 to 200 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0,0,AL,0,24,0,0,0,0,1,0
E-Commerce Data Analyst,48.0,3.5,iSeatz,"New Orleans, LA","New Orleans, LA",51 to 200 employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,0,0,LA,1,21,0,0,0,0,1,0
Sr. Scientist II,174.0,3.5,Nektar Therapeutics,"San Francisco, CA","San Francisco, CA",201 to 500 employees,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Bristol-Myers Squibb, Merck, GlaxoSmithKline",0,0,CA,1,30,0,0,0,0,1,3
Insurance Data Scientist,85.0,3.9,TransUnion,"Atlanta, GA","Chicago, IL",5001 to 10000 employees,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1,0,0,GA,0,52,1,0,1,0,0,0
Data Modeler,106.5,4.7,IT Concepts,"Landover, MD","Vienna, VA",51 to 200 employees,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,0,0,MD,0,17,0,0,0,0,0,0
Data Analyst / Scientist,72.5,4.2,Scientific Research Corporation,"Patuxent River, MD","Atlanta, GA",1001 to 5000 employees,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,0,0,MD,0,32,0,0,0,0,1,0
Scientist,85.5,3.4,General Dynamics Information Technology,"Suitland, MD","Fairfax, VA",10000+ employees,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman",0,0,MD,0,24,0,0,0,0,0,3
Data Scientist,97.5,3.2,MITRE,"McLean, VA","Bedford, MA",5001 to 10000 employees,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",0,0,VA,0,62,1,0,0,0,1,3
Data Scientist,99.0,3.9,The Buffalo Group,"Fort Belvoir, VA","Reston, VA",501 to 1000 employees,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",0,0,VA,0,10,1,0,0,0,1,3
Data Analyst,56.5,3.1,DentaQuest,"Milwaukee, WI","Boston, MA",1001 to 5000 employees,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MCNA Dental Plans, United Concordia, Delta Dental Plans Association",0,0,WI,0,19,0,0,0,0,1,3
Lead Data Scientist,133.0,4.1,Redjack,"Silver Spring, MD","Silver Spring, MD",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0,0,MD,1,13,1,0,0,0,0,0
Data Scientist,121.0,3.8,7Park Data,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,0,0,NY,1,8,1,0,1,0,0,0
Data Scientist,85.5,4.7,Rapid Response Monitoring,"Syracuse, NY","Syracuse, NY",501 to 1000 employees,1992,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,"COPS Monitoring, National Monitoring Center, Affiliated Monitoring",0,0,NY,1,28,1,0,0,0,0,3
"Data Scientist, Rice University",87.5,4.3,Trilogy Ed,"Houston, TX","New York, NY",1001 to 5000 employees,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,"General Assembly, Kaplan University, Ironhack",0,0,TX,0,5,1,0,0,0,0,3
Senior Data Scientist,237.5,4.2,Gallup,"Washington, DC","Washington, DC",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",0,0,DC,1,85,1,0,0,0,1,3
Data Engineer,95.5,3.9,CapTech,"Charlotte, NC","Richmond, VA",1001 to 5000 employees,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Accenture, North Highland, Deloitte",0,0,NC,0,23,1,0,1,0,0,3
Senior Data Scientist,104.5,3.3,American Axle & Manufacturing,"Southfield, MI","Detroit, MI",10000+ employees,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,0,0,MI,0,26,1,0,1,1,1,0
Financial Data Analyst,56.5,4.7,CentralReach,"Matawan, NJ","Pompano Beach, FL",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"DataFinch Technologies, Accupoint Software Solution, CodeMetro",0,0,NJ,0,8,0,0,0,0,1,3
Senior Data Analyst,55.0,4.3,Integrate,"Phoenix, AZ","Phoenix, AZ",201 to 500 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,0,0,AZ,1,10,0,0,0,0,1,0
Research Scientist,61.5,2.9,Boys Town Hospital,"Omaha, NE","Omaha, NE",1001 to 5000 employees,1977,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Nebraska Medicine, Children's Hospital & Medical Center, Methodist Health System - NE and IA",0,0,NE,1,43,0,0,0,0,1,3
Data Scientist,157.0,4.5,Demandbase,"San Francisco, CA","San Francisco, CA",201 to 500 employees,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Engagio, Bombora, Terminus",0,0,CA,1,14,0,0,1,1,0,3
